Data: "Person", "Mitarbeiter"
"0","12345678","Mitarbeiter"
"1","98765432","Mitarbeiter"
Data: "Person", "Kunde"
"2","12112003","Kunde"
"3","11346387","Kunde"
"4","24560318","Kunde"
"5","05122002","Kunde"
"6","06253456","Kunde"
"7","07342101","Kunde"
"8","08122001","Kunde"
"9","09253450","Kunde"
"10","10342100","Kunde"
"11","11223344","Kunde"
"12","12457890","Kunde"
"13","13794682","Kunde"
"14","14876543","Kunde"
"15","15783212","Kunde"
"16","16245387","Kunde"
"17","17654321","Kunde"
"18","18367251","Kunde"
"19","19234567","Kunde"
"20","20349012","Kunde"
"21","21457823","Kunde"
"22","22546789","Kunde"
"23","23678901","Kunde"
"24","24876539","Kunde"
"25","25789012","Kunde"
"26","26231234","Kunde"
"27","27123456","Kunde"
"28","28234567","Kunde"
"29","29345678","Kunde"
Data: "Media", "Buch"
"Buch","A123X", "Harry Potter und der Stein der Weisen","1997-07-02","Carlsen"
"Buch","A234Y", "Der Alchimist","1988-08-03","Diogenes"
"Buch","A345Z", "1984","1949-06-08","Rowohlt"
"Buch","A567M", "Percy Jackson & Diebe im Olymp","2005-06-28","Carlsen"
"Buch","A678N", "Der kleine Prinz","1943-04-06","Fischer"
"Buch","A789O", "Krieg und Frieden","1869-01-20","Reclam"
"Buch","A890P", "Moby-Dick","1851-10-18","Rowohlt"
"Buch","B111A", "Alice im Wunderland","1865-07-04","Macmillan"
"Buch","B222B", "Der große Gatsby","1925-04-10","Scribner"
"Buch","B333C", "To Kill a Mockingbird","1960-07-11","J. B. Lippincott"
"Buch","B444D", "Pride and Prejudice","1813-01-28","T. Egerton"
"Buch","B555E", "The Catcher in the Rye","1951-07-16","Little, Brown"
"Buch","B666F", "War and Peace","1869-01-20","The Russian Messenger"
"Buch","B777G", "The Great Expectations","1861-12-17","Chapman & Hall"
"Buch","B888H", "One Hundred Years of Solitude","1967-05-30","Harper & Row"
"Buch","B999I", "The Lord of the Flies","1954-09-17","Faber and Faber"
"Buch","B1010J", "Frankenstein","1818-01-01","Lackington, Hughes, Harding, Mavor, & Jones"
"Buch","B1111K", "The Hobbit","1937-09-21","Allen & Unwin"
"Buch","B1212L", "The Da Vinci Code","2003-03-18","Doubleday"
"Buch","B1313M", "The Girl with the Dragon Tattoo","2005-09-16","Norstedts Förlag"
"Buch","B1414N", "The Hunger Games","2008-09-14","Scholastic"
"Buch","B1515O", "The Chronicles of Narnia","1950-10-16","Geoffrey Bles"
"Buch","B1616P", "The Fault in Our Stars","2012-01-10","Dutton Books"
"Buch","B1717Q", "The Girl on the Train","2015-01-13","Riverhead Books"
"Buch","B1818R", "The Help","2009-02-10","Amy Einhorn Books"
"Buch","B1919S", "The Shining","1977-01-28","Doubleday"
"Buch","B2020T", "The Road","2006-09-26","Knopf"
"Buch","B2121U", "The Martian","2011-02-11","Crown"
"Buch","B2222V", "The Giver","1993-04-26","Houghton Mifflin"
"Buch","B2323W", "The Nightingale","2015-02-03","St. Martin's Press"
"Buch","B2424X", "The Handmaid's Tale","1985-06-14","McClelland & Stewart"
"Buch","B2525Y", "The Goldfinch","2013-10-22","Little, Brown"
"Buch","B2626Z", "The Catcher in the Rye","1951-07-16","Little, Brown"
Data: "Media", "DVD"
"DVD","B123X", "Harry Potter und der Stein der Weisen","2001-11-16"
"DVD","B234Y", "Der Pate","1972-03-14"
"DVD","B345Z", "Inception","2010-07-08"
"DVD","B456W", "Jurassic Park","1993-06-11"
"DVD","B567M", "Percy Jackson & Diebe im Olymp","2010-02-12"
"DVD","B678N", "Star Wars: Eine neue Hoffnung","1977-05-25"
"DVD","B789O", "The Shawshank Redemption","1994-09-23"
"DVD","B890P", "Forrest Gump","1994-07-06"
"DVD","D111A", "Gladiator","2000-05-05"
"DVD","D222B", "The Matrix","1999-03-24"
"DVD","D333C", "The Godfather Part II","1974-12-18"
"DVD","D444D", "The Dark Knight","2008-07-14"
"DVD","D555E", "Pulp Fiction","1994-10-14"
"DVD","D666F", "Inglourious Basterds","2009-08-20"
"DVD","D777G", "The Silence of the Lambs","1991-01-30"
"DVD","D888H", "The Departed","2006-10-06"
"DVD","D999I", "The Shawshank Redemption","1994-09-23"
"DVD","D1010J", "Schindler's List","1993-12-15"
"DVD","D1111K", "The Green Mile","1999-12-10"
"DVD","D1212L", "The Silence of the Lambs","1991-01-30"
"DVD","D1313M", "The Godfather Part III","1990-12-25"
"DVD","D1414N", "The Dark Knight Rises","2012-07-16"
"DVD","D1515O", "The Shawshank Redemption","1994-09-23"
"DVD","D1616P", "The Lord of the Rings: The Fellowship of the Ring","2001-12-19"
"DVD","D1717Q", "The Lord of the Rings: The Two Towers","2002-12-05"
"DVD","D1818R", "The Lord of the Rings: The Return of the King","2003-12-01"
"DVD","D1919S", "The Matrix Reloaded","2003-05-07"
"DVD","D2020T", "The Matrix Revolutions","2003-10-27"
"DVD","D2121U", "Inception","2010-07-08"
"DVD","D2222V", "The Avengers","2012-04-11"
"DVD","D2323W", "The Dark Knight","2008-07-14"
"DVD","D2424X", "Pulp Fiction","1994-10-14"
"DVD","D2525Y", "Forrest Gump","1994-07-06"
"DVD","D2626Z", "Jurassic Park","1993-06-11"
Data: "Media", "Zeitschrift"
"Zeitschrift","C123X", "National Geographic","1888-10-01", "National Geographic Society"
"Zeitschrift","C234Y", "Time","1923-03-03", "Time, Inc."
"Zeitschrift","C345Z", "Vogue","1892-12-17", "Condé Nast"
"Zeitschrift","C456W", "Scientific American","1845-08-28", "Springer Nature"
"Zeitschrift","C567M", "Nature","1869-11-04", "Nature Publishing Group"
"Zeitschrift","C678N", "The New Yorker","1925-02-21", "Conde Nast"
"Zeitschrift","C789O", "Wired","1993-01-01", "Conde Nast"
"Zeitschrift","C890P", "The Economist","1843-09-02", "The Economist Group"
"Zeitschrift","E111A", "National Geographic Traveler","2010-11-09", "National Geographic Society"
"Zeitschrift","E222B", "The Atlantic","1857-03-01", "Atlantic Media"
"Zeitschrift","E333C", "Wired UK","2009-05-21", "Condé Nast"
"Zeitschrift","E444D", "The New Scientist","1956-11-22", "Reed Business Information"
"Zeitschrift","E555E", "The Economist","1843-08-13", "The Economist Group"
"Zeitschrift","E666F", "Smithsonian Magazine","1970-03-01", "Smithsonian Institution"
"Zeitschrift","E777G", "Vanity Fair","1913-09-01", "Condé Nast"
"Zeitschrift","E888H", "The Times","1785-01-01", "News UK"
"Zeitschrift","E999I", "New York Magazine","1968-04-08", "New York Media"
"Zeitschrift","E1010J", "Rolling Stone","1967-11-09", "Penske Media Corporation"
"Zeitschrift","E1111K", "Sports Illustrated","1954-08-16", "Meredith Corporation"
"Zeitschrift","E1212L", "Cosmopolitan","1886-03-01", "Hearst Communications"
"Zeitschrift","E1313M", "The Economist","1843-08-13", "The Economist Group"
"Zeitschrift","E1414N", "Smithsonian Magazine","1970-03-01", "Smithsonian Institution"
"Zeitschrift","E1515O", "Vanity Fair","1913-09-01", "Condé Nast"
"Zeitschrift","E1616P", "The Times","1785-01-01", "News UK"
